Municipios;Sexo;Periodo;Total
03020 Balones;Total;2003;172
03020 Balones;Total;2002;180
03020 Balones;Total;2001;184
03020 Balones;Total;2000;183
03020 Balones;Total;1999;181
03020 Balones;Total;1998;178
03020 Balones;Total;1997;""
03020 Balones;Total;1996;176
03021 Banyeres de Mariola;Total;2022;7.201
03021 Banyeres de Mariola;Total;2021;7.113
03021 Banyeres de Mariola;Total;2020;7.090
03021 Banyeres de Mariola;Total;2019;7.068
03021 Banyeres de Mariola;Total;2018;7.113
03021 Banyeres de Mariola;Total;2017;7.102
03021 Banyeres de Mariola;Total;2016;7.108
03021 Banyeres de Mariola;Total;2015;7.155
03021 Banyeres de Mariola;Total;2014;7.174
03021 Banyeres de Mariola;Total;2013;7.157
03021 Banyeres de Mariola;Total;2012;7.222
03021 Banyeres de Mariola;Total;2011;7.200
03021 Banyeres de Mariola;Total;2010;7.229
03021 Banyeres de Mariola;Total;2009;7.240
03021 Banyeres de Mariola;Total;2008;7.194
03021 Banyeres de Mariola;Total;2007;7.193
03021 Banyeres de Mariola;Total;2006;7.237
03021 Banyeres de Mariola;Total;2005;7.282
03021 Banyeres de Mariola;Total;2004;7.314
03021 Banyeres de Mariola;Total;2003;7.321
03021 Banyeres de Mariola;Total;2002;7.050
03021 Banyeres de Mariola;Total;2001;6.983
03021 Banyeres de Mariola;Total;2000;6.906
03021 Banyeres de Mariola;Total;1999;6.848
03021 Banyeres de Mariola;Total;1998;6.848
03021 Banyeres de Mariola;Total;1997;""
03021 Banyeres de Mariola;Total;1996;7.056
03022 Benasau;Total;2022;171
03022 Benasau;Total;2021;170
03022 Benasau;Total;2020;156
03022 Benasau;Total;2019;151
03022 Benasau;Total;2018;156
03022 Benasau;Total;2017;157
03022 Benasau;Total;2016;158
03022 Benasau;Total;2015;155
03022 Benasau;Total;2014;158
03022 Benasau;Total;2013;157
03022 Benasau;Total;2012;174
03022 Benasau;Total;2011;178
03022 Benasau;Total;2010;171
03022 Benasau;Total;2009;190
03022 Benasau;Total;2008;198
03022 Benasau;Total;2007;210
03022 Benasau;Total;2006;210
03022 Benasau;Total;2005;222
03022 Benasau;Total;2004;237
03022 Benasau;Total;2003;233
03022 Benasau;Total;2002;196
03022 Benasau;Total;2001;187
03022 Benasau;Total;2000;189
03022 Benasau;Total;1999;195
03022 Benasau;Total;1998;200
03022 Benasau;Total;1997;""
03022 Benasau;Total;1996;210
03023 Beneixama;Total;2022;1.705
03023 Beneixama;Total;2021;1.707
03023 Beneixama;Total;2020;1.690
03023 Beneixama;Total;2019;1.685
03023 Beneixama;Total;2018;1.703
03023 Beneixama;Total;2017;1.710
03023 Beneixama;Total;2016;1.712
03023 Beneixama;Total;2015;1.746
03023 Beneixama;Total;2014;1.738
03023 Beneixama;Total;2013;1.778
03023 Beneixama;Total;2012;1.792
03023 Beneixama;Total;2011;1.817
03023 Beneixama;Total;2010;1.820
03023 Beneixama;Total;2009;1.811
03023 Beneixama;Total;2008;1.837
03023 Beneixama;Total;2007;1.828
03023 Beneixama;Total;2006;1.802
03023 Beneixama;Total;2005;1.886
03023 Beneixama;Total;2004;1.939
03023 Beneixama;Total;2003;1.931
03023 Beneixama;Total;2002;1.816
03023 Beneixama;Total;2001;1.840
03023 Beneixama;Total;2000;1.795
03023 Beneixama;Total;1999;1.796
03023 Beneixama;Total;1998;1.796
03023 Beneixama;Total;1997;""
03023 Beneixama;Total;1996;1.799
03024 Benejúzar;Total;2022;5.480
03024 Benejúzar;Total;2021;5.453
03024 Benejúzar;Total;2020;5.435
03024 Benejúzar;Total;2019;5.402
03024 Benejúzar;Total;2018;5.361
03024 Benejúzar;Total;2017;5.372
03024 Benejúzar;Total;2016;5.364
03024 Benejúzar;Total;2015;5.398
03024 Benejúzar;Total;2014;5.394
03024 Benejúzar;Total;2013;5.453
03024 Benejúzar;Total;2012;5.425
03024 Benejúzar;Total;2011;5.459
03024 Benejúzar;Total;2010;5.474
03024 Benejúzar;Total;2009;5.467
03024 Benejúzar;Total;2008;5.472
03024 Benejúzar;Total;2007;5.419
03024 Benejúzar;Total;2006;5.306
03024 Benejúzar;Total;2005;5.249
03024 Benejúzar;Total;2004;5.216
03024 Benejúzar;Total;2003;5.114
03024 Benejúzar;Total;2002;5.019
03024 Benejúzar;Total;2001;5.007
03024 Benejúzar;Total;2000;4.942
03024 Benejúzar;Total;1999;5.067
